Location,prop_2019,prop_2017,prop_2013
United States,0.332,0.335,0.343
Alabama,0.32,0.312,0.339
Alaska,0.309,0.351,0.341
Arizona,0.332,0.333,0.346
Arkansas,0.351,0.354,0.352
California,0.329,0.332,0.345
Colorado,0.33,0.334,0.347
Connecticut,0.316,0.326,0.346
Delaware,0.3,0.303,0.311
District of Columbia,0.192,0.194,0.217
Florida,0.291,0.3,0.304
Georgia,0.333,0.342,0.347
Hawaii,0.29,0.309,0.312
Idaho,0.379,0.375,0.401
Illinois,0.331,0.341,0.346
Indiana,0.344,0.345,0.356
Iowa,0.366,0.367,0.372
Kansas,0.37,0.371,0.382
Kentucky,0.34,0.348,0.344
Louisiana,0.323,0.325,0.333
Maine,0.302,0.306,0.298
Maryland,0.332,0.332,0.339
Massachusetts,0.312,0.32,0.331
Michigan,0.322,0.331,0.336
Minnesota,0.362,0.347,0.357
Mississippi,0.329,0.342,0.343
Missouri,0.344,0.345,0.345
Montana,0.325,0.309,0.326
Nebraska,0.386,0.378,0.375
Nevada,0.32,0.325,0.332
New Hampshire,0.313,0.318,0.35
New Jersey,0.344,0.355,0.36
New Mexico,0.323,0.317,0.341
New York,0.306,0.304,0.32
North Carolina,0.338,0.344,0.337
North Dakota,0.373,0.363,0.354
Ohio,0.334,0.335,0.339
Oklahoma,0.354,0.355,0.357
Oregon,0.315,0.324,0.329
Pennsylvania,0.323,0.323,0.324
Rhode Island,0.299,0.319,0.315
South Carolina,0.32,0.319,0.328
South Dakota,0.374,0.374,0.37
Tennessee,0.33,0.332,0.336
Texas,0.367,0.37,0.38
Utah,0.414,0.418,0.435
Vermont,0.291,0.309,0.316
Virginia,0.33,0.336,0.338
Washington,0.338,0.343,0.347
West Virginia,0.32,0.311,0.316
Wisconsin,0.335,0.343,0.344
Wyoming,0.368,0.355,0.353
Puerto Rico,0.287,0.279,0.334