Location,2019,2017,2013
United States,16.7,18.8,26.5
Alabama,25.6,27,34.3
Alaska,18.3,22,30.3
Arizona,18.5,22,33.1
Arkansas,30,32.8,43.5
California,12.4,15.1,23.6
Colorado,13.9,16.1,23.4
Connecticut,7.7,8.8,12.9
Delaware,14.9,18.5,24.7
District of Columbia,16.8,21,32.1
Florida,16.2,18.2,24.6
Georgia,19.7,21.9,30.5
Hawaii,15.7,19.1,25.1
Idaho,14.9,18.6,25.7
Illinois,14.6,17.4,24.6
Indiana,20.8,22.8,30.3
Iowa,14.1,16,22.1
Kansas,19.2,21.3,29.6
Kentucky,24.9,29,39.5
Louisiana,27.8,29.1,39.2
Maine,9.1,13.1,17.4
Maryland,13.9,14.2,19.4
Massachusetts,6.9,8.1,12.1
Michigan,15.1,16.4,23.6
Minnesota,10.1,12.1,16.8
Mississippi,29.1,31,42.6
Missouri,20.3,22.5,30
Montana,16.3,21.2,27.9
Nebraska,15.3,18.1,24.9
Nevada,18.9,21.9,30.3
New Hampshire,6.6,8.4,12.6
New Jersey,10,10.3,14.8
New Mexico,24.4,27.9,43.3
New York,11.4,12.5,17.7
North Carolina,18.2,20.6,28.4
North Dakota,15.6,16.2,24.1
Ohio,18.8,20.8,27.2
Oklahoma,27.4,29.7,42.9
Oregon,12.1,15,21.6
Pennsylvania,13.3,14.8,20.9
Rhode Island,10,11.4,17.7
South Carolina,21.6,21.7,31.6
South Dakota,19.2,22.6,29.1
Tennessee,23.7,26.6,34.7
Texas,24,27.6,41
Utah,12,15.2,20.6
Vermont,7.6,10.1,14.5
Virginia,13.6,15,20.1
Washington,12.7,14.8,20.5
West Virginia,25.2,27.1,40.1
Wisconsin,12.5,13.8,19.6
Wyoming,19.4,24.6,29.6
American Samoa,N/A,38.4,42.9
Guam,33.3,40.1,54.1
Northern Mariana Islands,20.7,16.1,44.3
Puerto Rico,19.1,24.3,44.6
Virgin Islands,N/A,N/A,N/A